approach,dataset,NDCG@10,MRR@10,MAP@1000,Recall@100
approach1,msmarco-passage/trec-dl-2019/judged,0.044923142087803646,0.06585455887781469,0.09417443746169453,0.137874261068471
approach2,msmarco-passage/trec-dl-2019/judged,0.019733639996478286,0.04111295681063123,0.051739382926480976,0.04619383935288012
approach3,msmarco-passage/trec-dl-2019/judged,0.5626727018321771,0.8972868217054263,0.4050470476150008,0.47067701487613556
approach1,msmarco-passage/trec-dl-2020/judged,0.02236968943798267,0.06396237507348619,0.06843683932268244,0.12015857037908398
approach2,msmarco-passage/trec-dl-2020/judged,0.019313583929694296,0.061316872427983546,0.037957884485323716,0.030637631706363952
approach3,msmarco-passage/trec-dl-2020/judged,0.5311936222012588,0.8342592592592593,0.4022810603896521,0.5330534138008395
approach1,msmarco-passage/dev/small,0.009257040619494646,0.005684495383635785,0.01165228189536729,0.17351957975167143
approach2,msmarco-passage/dev/small,0.0054071868460540025,0.0035296993678082503,0.005629470963227213,0.0356494746895893
approach3,msmarco-passage/dev/small,0.3348410199118509,0.2794912903079092,0.2856153667059991,0.7635148042024832
approach1,msmarco-passage/trec-dl-hard,0.0030753943225398195,0.007555555555555555,0.024228770868749628,0.04752301275634025
approach2,msmarco-passage/trec-dl-hard,0.0015648927841566149,0.012857142857142855,0.01421371234591275,0.01116594491729586
approach3,msmarco-passage/trec-dl-hard,0.3065261874638733,0.5370238095238096,0.216281524351001,0.4740589891872904
